model,id,original_code,llm_code
GPT-4o,10,"def npss(length: int) -> str:
    """"""Generates random string of the given length with at least one ""-"".

    Args:
        length (int): Desired length.

    Returns:
        str: Your new shiny random password.
    """"""
    while True:
        pss = token_urlsafe(length)[:length]
        if ""-"" in pss:
            return pss","def npss(length: int) -> str:
    """"""
    Generate a random password-safe string of the specified length 
    that contains at least one hyphen (""-"").

    This function repeatedly generates a random URL-safe token until 
    it finds one that includes a hyphen, then returns it.

    Parameters:
        length (int): The desired length of the output string.

    Returns:
        str: A URL-safe string of the specified length containing a hyphen.
    """"""
    while True:
        pss = token_urlsafe(length)[:length]
        if ""-"" in pss:
            return pss"
GPT-4o,11,"def argv_pars(arguments: List[str]) -> int:
    """"""Returns second argv or 30.

    Args:
        argv (List[str]): sys.argv

    Returns:
        int: i >= 1, or 30
    """"""
    try:
        return max(int(arguments[1]), 1)
    except Exception:
        return 30","def argv_pars(arguments: List[str]) -> int:
    """"""
    Parses a list of command-line arguments and returns a positive integer.

    Attempts to convert the second argument in the list to an integer.
    If the conversion fails or the list does not contain enough elements,
    returns a default value of 30. Ensures the returned value is at least 1.

    Args:
        arguments (List[str]): A list of command-line arguments.

    Returns:
        int: The parsed integer value (at least 1), or 30 if parsing fails.
    """"""
    try:
        return max(int(arguments[1]), 1)
    except Exception:
        return 30"
GPT-4o,12,"def render(metadata: Metadata, spec: SpecInfo, config: Config) -> None:
    """"""
    Render module and stub files for a given Swagger schema.
    :param metadata: Code generation metadata.
    :param spec: SpecInfo representing the schema.
    :param config: Code generation configuration.
    """"""
    template_dirs = []
    if config.custom_templates_dir:
        template_dirs.append(config.custom_templates_dir)
    template_dirs.append(
        pkg_resources.resource_filename(__name__, ""templates/""))
    lookup = TemplateLookup(directories=template_dirs)

    py_template = lookup.get_template(""module.py.mako"")
    with open(config.py_path, ""w"") as f:
        f.write(py_template.render(metadata=metadata, spec=spec,
                                   config=config))

    pyi_template = lookup.get_template(""module.pyi.mako"")
    with open(config.pyi_path, ""w"") as f:
        f.write(pyi_template.render(metadata=metadata, spec=spec,
                                    config=config))

    if config.postprocessor:
        config.postprocessor(config.py_path, config.pyi_path)","def render(metadata: Metadata, spec: SpecInfo, config: Config) -> None:
    """"""
    Renders Python source (.py) and stub (.pyi) files from Mako templates using the provided metadata and spec.

    This function sets up the Mako template lookup paths, prioritizing any custom template directory 
    specified in the configuration. It then uses the `module.py.mako` and `module.pyi.mako` templates 
    to generate Python module files and writes them to the paths defined in the configuration.

    If a postprocessor is provided in the config, it will be called with the paths of the generated files.

    Args:
        metadata (Metadata): Metadata used for rendering the templates.
        spec (SpecInfo): Specification information for the module.
        config (Config): Configuration object containing paths, optional custom template directory, 
                         and an optional postprocessor function.

    Returns:
        None
    """""""
GPT-4o,13,"def len_without_ansi(seq: Sequence) -> int:
    """"""Return the character length of the given
    :obj:`Sequence <typing.Sequence>` without counting any ANSI codes.

    *New in version 0.6*

    Args:
         seq (:obj:`Sequence <typing.Sequence>`): A string or a list/tuple
             of strings.

    :rtype:
        :obj:`int`

    Example:
        >>> from flutils.txtutils import len_without_ansi
        >>> text = '\\x1b[38;5;209mfoobar\\x1b[0m'
        >>> len_without_ansi(text)
        6
    """"""
    if hasattr(seq, 'capitalize'):
        _text: str = cast(str, seq)
        seq = [c for c in _ANSI_RE.split(_text) if c]
    seq = [c for c in chain(*map(_ANSI_RE.split, seq)) if c]
    seq = cast(Sequence[str], seq)
    out = 0
    for text in seq:
        if hasattr(text, 'capitalize'):
            if text.startswith('\x1b[') and text.endswith('m'):
                continue
            else:
                out += len(text)
    return out","def len_without_ansi(seq: Sequence) -> int:
    """"""
    Calculate the length of a string or sequence of strings, excluding ANSI escape codes.

    This function removes ANSI escape sequences (e.g., terminal color codes) from the input
    and returns the length of the visible text content. The input can be a string or a sequence
    of strings, and the function ensures that all ANSI codes are ignored in the length calculation.

    Args:
        seq (Sequence): A string or a sequence of strings that may contain ANSI escape codes.

    Returns:
        int: The length of the input text without counting ANSI escape sequences.
    """"""
    if hasattr(seq, 'capitalize'):
        _text: str = cast(str, seq)
        seq = [c for c in _ANSI_RE.split(_text) if c]
    seq = [c for c in chain(*map(_ANSI_RE.split, seq)) if c]
    seq = cast(Sequence[str], seq)
    out = 0
    for text in seq:
        if hasattr(text, 'capitalize'):
            if text.startswith('\x1b[') and text.endswith('m'):
                continue
            else:
                out += len(text)
    return out"
GPT-4o,14,"def validate_identifier(
        identifier: Union[str, UserString],
        allow_underscore: bool = True
) -> None:
    """"""Validate the given string is a proper identifier.

    This validator will also raise an error if the given identifier is a
    keyword or a builtin identifier.

    Args:
        identifier (:obj:`str` or :obj:`UserString <collections.UserString>`):
            The value to be tested.
        allow_underscore (:obj:`bool`, optional): A value of :obj:`False`
            will raise an error when the ``identifier`` has a value that starts
            with an underscore ``_``. (Use :obj:`False` when validating
            potential :obj:`namedtuple <collections.namedtuple>` keys)
            Defaults to: :obj:`True`.

    Raises:
        SyntaxError: If the given identifier is invalid.
        TypeError: If the given identifier is not a :obj:`str` or
            :obj:`UserString <collections.UserString>`.

    :rtype: :obj:`None`

    Example:
        >>> from flutils.validators import validate_identifier
        >>> validate_identifier('123')
        SyntaxError: The given 'identifier', '123', cannot start with a number
    """"""
    if isinstance(identifier, UserString):
        identifier = str(identifier)
    if not isinstance(identifier, str):
        raise TypeError(
            ""The given 'identifier' must be a 'str'.  Got: %r""
            % type(identifier).__name__
        )
    identifier = identifier.strip()
    if not identifier:
        raise SyntaxError(""The given 'identifier' cannot be empty"")

    if allow_underscore is False and identifier[0:1] == '_':
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with an ""
            ""underscore '_'""
        )

    if identifier[0:1].isdigit():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with a ""
            ""number""
        )

    if not identifier.isidentifier():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, is invalid.""
        )

    if keyword.iskeyword(identifier):
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a keyword""
        )

    if identifier in _BUILTIN_NAMES:
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a builtin name""
        )","def validate_identifier(
        identifier: Union[str, UserString],
        allow_underscore: bool = True
) -> None:
    """"""
    Validate that a given identifier is a valid Python name.

    This function checks that the provided `identifier`:
    - Is a string or `UserString`
    - Is not empty or only whitespace
    - Does not start with a digit
    - Does not start with an underscore if `allow_underscore` is False
    - Is a valid Python identifier (according to `str.isidentifier()`)
    - Is not a Python keyword (like 'for', 'class', etc.)
    - Is not a name of a built-in object (like 'list', 'int', etc.)

    Parameters:
        identifier (Union[str, UserString]): The identifier to validate.
        allow_underscore (bool): If False, identifiers starting with an underscore are not allowed.

    Raises:
        TypeError: If `identifier` is not a string or `UserString`.
        SyntaxError: If `identifier` is empty, invalid, starts with a number or disallowed underscore,
                     is a keyword, or a builtin name.
    """"""
    if isinstance(identifier, UserString):
        identifier = str(identifier)
    if not isinstance(identifier, str):
        raise TypeError(
            ""The given 'identifier' must be a 'str'.  Got: %r""
            % type(identifier).__name__
        )
    identifier = identifier.strip()
    if not identifier:
        raise SyntaxError(""The given 'identifier' cannot be empty"")

    if allow_underscore is False and identifier[0:1] == '_':
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with an ""
            ""underscore '_'""
        )

    if identifier[0:1].isdigit():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot start with a ""
            ""number""
        )

    if not identifier.isidentifier():
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, is invalid.""
        )

    if keyword.iskeyword(identifier):
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a keyword""
        )

    if identifier in _BUILTIN_NAMES:
        raise SyntaxError(
            f""The given 'identifier', {identifier!r}, cannot be a builtin name""
        )"
o3 (thinking),0,"def get_graphql_response(
    *,
    settings: Settings,
    query: str,
    after: str | None = None,
) -> dict[str, Any]:
    """"""Make a GraphQL request to GitHub API.

    Args:
        settings: Configuration settings including API token
        query: GraphQL query string
        after: Cursor for pagination, if any

    Returns:
        Response data from GitHub API in JSON format

    Raises:
        RuntimeError: If the API request fails or returns errors
    """"""
    headers = {'Authorization': f'token {settings.input_token.get_secret_value()}'}
    variables = {'after': after}
    response = requests.post(
        github_graphql_url,
        headers=headers,
        timeout=settings.request_timeout,
        json={'query': query, 'variables': variables, 'operationName': 'Q'},
    )
    if response.status_code != 200:
        logging.error(f'Response was not 200, after: {after}')
        logging.error(response.text)
        raise RuntimeError(response.text)
    data = response.json()
    if 'errors' in data:
        logging.error(f'Errors in response, after: {after}')
        logging.error(data['errors'])
        logging.error(response.text)
        raise RuntimeError(response.text)
    return data","def get_graphql_response(
    *,
    settings: Settings,
    query: str,
    after: str | None = None,
) -> dict[str, Any]:
    """"""Send a GraphQL query to the GitHub API and return the parsed JSON response.

    This helper wraps a single POST request to the GitHub GraphQL endpoint
    and performs basic error handling and logging. Pagination is supported
    through the ``after`` cursor variable, which is injected into the GraphQL
    variables payload.

    Args:
        settings (Settings): Object holding runtime configuration. It must
            expose:
                * ``input_token`` – a *SecretStr* personal‑access token with
                  at least ``read`` scope on the queried resources.
                * ``request_timeout`` – timeout (in seconds) applied to the
                  outbound request.
        query (str): The GraphQL query string. It should declare a variable
            named ``$after`` and use the operation name ``""Q""`` so that the
            payload constructed here matches the server‑side schema.
        after (str | None, optional): Pagination cursor. Pass the ``endCursor``
            value from the previous response to obtain the next page. ``None``
            (default) requests the first page.

    Returns:
        dict[str, Any]: The JSON object returned by the GitHub API, decoded
        into a Python ``dict``. On success the top‑level key ``data`` is
        present; on failure GitHub also includes an ``errors`` key.

    Raises:
        RuntimeError: If the HTTP status code is not 200 or the parsed JSON
        contains a non‑empty ``errors`` field.

    """"""
    headers = {'Authorization': f'token {settings.input_token.get_secret_value()}'}
    variables = {'after': after}
    response = requests.post(
        github_graphql_url,
        headers=headers,
        timeout=settings.request_timeout,
        json={'query': query, 'variables': variables, 'operationName': 'Q'},
    )
    if response.status_code != 200:
        logging.error(f'Response was not 200, after: {after}')
        logging.error(response.text)
        raise RuntimeError(response.text)
    data = response.json()
    if 'errors' in data:
        logging.error(f'Errors in response, after: {after}')
        logging.error(data['errors'])
        logging.error(response.text)
        raise RuntimeError(response.text)
    return data"
o3 (thinking),1,"def generate_arguments_schema(
    func: Callable[..., Any],
    schema_type: Literal['arguments', 'arguments-v3'] = 'arguments-v3',
    parameters_callback: Callable[[int, str, Any], Literal['skip'] | None] | None = None,
    config: ConfigDict | None = None,
) -> CoreSchema:
    """"""Generate the schema for the arguments of a function.
    Args:
        func: The function to generate the schema for.
        schema_type: The type of schema to generate.
        parameters_callback: A callable that will be invoked for each parameter. The callback
            should take three required arguments: the index, the name and the type annotation
            (or [`Parameter.empty`][inspect.Parameter.empty] if not annotated) of the parameter.
            The callback can optionally return `'skip'`, so that the parameter gets excluded
            from the resulting schema.
        config: The configuration to use.
    Returns:
        The generated schema.
    """"""
    generate_schema = _generate_schema.GenerateSchema(
        _config.ConfigWrapper(config),
        ns_resolver=_namespace_utils.NsResolver(namespaces_tuple=_namespace_utils.ns_for_function(func)),
    )

    if schema_type == 'arguments':
        schema = generate_schema._arguments_schema(func, parameters_callback)  # pyright: ignore[reportArgumentType]
    else:
        schema = generate_schema._arguments_v3_schema(func, parameters_callback)  # pyright: ignore[reportArgumentType]
    return generate_schema.clean_schema(schema)","def generate_arguments_schema(
    func: Callable[..., Any],
    schema_type: Literal['arguments', 'arguments-v3'] = 'arguments-v3',
    parameters_callback: Callable[[int, str, Any], Literal['skip'] | None] | None = None,
    config: ConfigDict | None = None,
) -> CoreSchema:
    """"""
    Build a *pydantic-core* :class:`CoreSchema` that describes the positional and
    keyword arguments accepted by *func*.

    Parameters
    ----------
    func : Callable[..., Any]
        The function (or other callable) whose signature should be analysed.
    schema_type : Literal['arguments', 'arguments-v3'], default ``'arguments-v3'``
        • ``'arguments'`` – generate the legacy, pre-v3 “arguments” schema.  
        • ``'arguments-v3'`` – generate the modern v3 “arguments-v3” schema
          (recommended and the default).
    parameters_callback : Callable[[int, str, Any], Literal['skip'] | None], optional
        A hook that is invoked for every parameter in *func*’s signature.
        It receives the parameter index, the parameter name, and the original
        :pyclass:`inspect.Parameter` object.  
        Return the literal ``'skip'`` to omit that parameter from the schema.
    config : ConfigDict, optional
        A *pydantic-core* ``ConfigDict`` whose options influence schema generation.

    Returns
    -------
    CoreSchema
        A cleaned, ready-to-use schema object that fully represents the callable
        arguments according to the selected *schema_type*.

    Notes
    -----
    Internally this function is a thin wrapper around
    :class:`_generate_schema.GenerateSchema`.  After the raw schema is produced,
    it is normalised via :meth:`GenerateSchema.clean_schema` to ensure it meets
    *pydantic-core*’s expectations before being returned.
    """"""
    generate_schema = _generate_schema.GenerateSchema(
        _config.ConfigWrapper(config),
        ns_resolver=_namespace_utils.NsResolver(namespaces_tuple=_namespace_utils.ns_for_function(func)),
    )

    if schema_type == 'arguments':
        schema = generate_schema._arguments_schema(func, parameters_callback)  # pyright: ignore[reportArgumentType]
    else:
        schema = generate_schema._arguments_v3_schema(func, parameters_callback)  # pyright: ignore[reportArgumentType]
    return generate_schema.clean_schema(schema)"
o3 (thinking),2,"@pytest.mark.skipif(
    sys.version_info.minor < 11, reason=""Not supported before Python 3.11""
)
def test_notes() -> None:
    """"""Check traceback captures __note__.""""""
    try:
        1 / 0
    except Exception as error:
        error.add_note(""Hello"")
        error.add_note(""World"")
        traceback = Traceback()

        assert traceback.trace.stacks[0].notes == [""Hello"", ""World""]","import sys
import pytest

@pytest.mark.skipif(
    sys.version_info.minor < 11, reason=""Not supported before Python 3.11""
)
def test_notes() -> None:
    """"""
    Verify that `Traceback` correctly captures notes added to an exception.

    The test deliberately triggers a ``ZeroDivisionError`` by dividing one by
    zero, attaches two notes (``""Hello""`` and ``""World""``) to the exception
    via :py:meth:`BaseException.add_note`, and then builds a ``Traceback``
    object from the resulting error.  It asserts that the first stack in the
    constructed traceback records the notes in the exact order they were
    added.

    This behavior is only available starting with Python 3.11, so the test is
    skipped on earlier minor versions.
    """"""
    try:
        1 / 0
    except Exception as error:
        error.add_note(""Hello"")
        error.add_note(""World"")
        traceback = Traceback()

        assert traceback.trace.stacks[0].notes == [""Hello"", ""World""]"
o3 (thinking),3,"def dict_to_html_list(dictionary, key_sep=None):
    """"""Convert a python dictionary into a string representing an HTML list.""""""
    key_sep = ': ' if not key_sep else key_sep
    doc = Doc()
    if not dictionary:
        return """"
    with doc.tag('ul'):
        for key in dictionary:
            with doc.tag('li'):
                if isinstance(dictionary[key], dict):
                    doc.text('%s%s' % (key, key_sep))
                    doc.asis(dict_to_html_list(dictionary[key]))
                elif isinstance(dictionary[key], (list, tuple)):
                    doc.asis(list_to_html_list(dictionary[key]))
                else:
                    doc.text('%s%s%s' % (key, key_sep, dictionary[key]))
    return doc.getvalue()","def dict_to_html_list(dictionary, key_sep=None):
    """"""
    Convert a (possibly nested) Python dictionary to an HTML unordered-list
    (`<ul> … </ul>`) string.

    The function walks the dictionary recursively and:

    * writes a new `<li>` element for each key
    * renders nested dictionaries by calling itself
    * renders lists/tuples by delegating to ``list_to_html_list()``
    * writes simple key–value pairs as plain text inside the `<li>`

    Parameters
    ----------
    dictionary : dict
        The dictionary to convert. Values may themselves be dictionaries,
        lists/tuples, or scalar types (str, int, float, etc.).
    key_sep : str, optional
        The string placed between the key and its value when rendering
        scalar pairs. If *None* (default) the separator ``': '`` is used.

    Returns
    -------
    str
        A string containing valid HTML markup for the corresponding
        unordered list. If *dictionary* is empty, an empty string is
        returned.

    Notes
    -----
    The function relies on a global ``Doc`` instance from *yattag* (or an
    equivalent library) that is assumed to be available in the caller’s
    scope, as well as a companion function ``list_to_html_list`` for
    rendering iterable values.

    Examples
    --------
    >>> data = {'name': 'Alice', 'skills': {'python': 'expert', 'js': 'intermediate'}}
    >>> html = dict_to_html_list(data)
    >>> print(html)
    <ul><li>name: Alice</li><li>skills: <ul><li>python: expert</li><li>js: intermediate</li></ul></li></ul>
    """"""
    key_sep = ': ' if not key_sep else key_sep
    doc = Doc()
    if not dictionary:
        return """"
    with doc.tag('ul'):
        for key in dictionary:
            with doc.tag('li'):
                if isinstance(dictionary[key], dict):
                    doc.text(f""{key}{key_sep}"")
                    doc.asis(dict_to_html_list(dictionary[key], key_sep))
                elif isinstance(dictionary[key], (list, tuple)):
                    doc.asis(list_to_html_list(dictionary[key]))
                else:
                    doc.text(f""{key}{key_sep}{dictionary[key]}"")
    return doc.getvalue()"
o3 (thinking),4,"def get_application_ips(
    self, application: str, identifying_ips_only: bool = True
) -> List[Any]:
    """"""Get all associated IP addresses for the provided application stack.

    Args:
        application (str): The application stack name, as identified in RISC.
        identifying_ips_only (bool): Whether or not to return only the identifying_ip value
            for each asset found within the application stack. If set to: False, this method
            will iterate through all ips in the device data object. Defaults to: True.

    Returns:
        list of str: The list of device IP addresses present in the application stack.

    """"""
    ip_addresses: List[str] = []
    stack_id = self.lookup_stack_id(application)
    if not stack_id:
        return ip_addresses
    stack_assets = self.assets_get_assets(stack_id=stack_id)
    if stack_assets.status_code != 200:
        logger.error(
            ""Failed to retrieve application stack assets for: (%s)"" % application
        )
        return ip_addresses

    for asset in stack_assets.json().get(""assets"", []):
        asset_data = asset.get(""data"", {})
        if identifying_ips_only:
            # Handle dict and list types differently, because this API has no standard responses or models...
            if isinstance(asset_data, dict):
                ip = asset_data.get(""identifying_ip"", """")
            elif isinstance(asset_data, list):
                ip = next(
                    item[""identifying_ip""]
                    for item in asset_data
                    if ""identifying_ip"" in item
                )
            if ip and ip != ""NULL"":
                ip_addresses.append(ip)
        else:
            if isinstance(asset_data, dict):
                found_ips = asset_data.get(""ips"", [])
            elif isinstance(asset_data, list):
                found_ips = next(
                    item[""ips""] for item in asset_data if ""ips"" in item
                )
            if found_ips:
                ips = [
                    found_ip[""ip""]
                    for found_ip in found_ips
                    if found_ip[""ip""] != ""NULL""
                ]
                ip_addresses += ips
    ip_addresses = sorted(list(set(ip_addresses)))
    return ip_addresses","def get_application_ips(
    self, application: str, identifying_ips_only: bool = True
) -> List[Any]:
    """"""Retrieve IP addresses associated with an application stack.

    This method resolves the stack ID for the given *application* and queries the
    asset service for assets in that stack. Depending on *identifying_ips_only*,
    it returns either:

    * **Identifying IPs** – a single representative IP for each asset (default).
    * **All IPs** – every IP listed under an asset's ``ips`` field.

    Because the underlying asset API is inconsistent (sometimes returning
    dictionaries and other times lists), the response is normalised before
    extracting IP addresses. The final list is de‑duplicated and returned in
    sorted order.

    Parameters
    ----------
    application : str
        Human‑readable application stack name (e.g. ``""orders-service""``).
    identifying_ips_only : bool, optional
        When *True* (default) return only the identifying IP for each asset;
        when *False* return all IPs found for each asset.

    Returns
    -------
    List[str]
        Sorted list of unique IPv4/IPv6 address strings. An empty list is
        returned if the stack cannot be resolved, the asset query fails, or no
        valid IPs are found.
    """"""
    ip_addresses: List[str] = []
    stack_id = self.lookup_stack_id(application)
    if not stack_id:
        return ip_addresses
    stack_assets = self.assets_get_assets(stack_id=stack_id)
    if stack_assets.status_code != 200:
        logger.error(
            ""Failed to retrieve application stack assets for: (%s)"" % application
        )
        return ip_addresses

    for asset in stack_assets.json().get(""assets"", []):
        asset_data = asset.get(""data"", {})
        if identifying_ips_only:
            # Handle dict and list types differently, because this API has no standard responses or models...
            if isinstance(asset_data, dict):
                ip = asset_data.get(""identifying_ip"", """")
            elif isinstance(asset_data, list):
                ip = next(
                    item[""identifying_ip""]
                    for item in asset_data
                    if ""identifying_ip"" in item
                )
            if ip and ip != ""NULL"":
                ip_addresses.append(ip)
        else:
            if isinstance(asset_data, dict):
                found_ips = asset_data.get(""ips"", [])
            elif isinstance(asset_data, list):
                found_ips = next(
                    item[""ips""] for item in asset_data if ""ips"" in item
                )
            if found_ips:
                ips = [
                    found_ip[""ip""]
                    for found_ip in found_ips
                    if found_ip[""ip""] != ""NULL""
                ]
                ip_addresses += ips
    ip_addresses = sorted(list(set(ip_addresses)))
    return ip_addresses"
o3 (thinking),5,"def b64_decode_ssr(e_str: str) -> str:
    """"""add ""="" at tail automatically to perform base64 decoding""""""
    remainder = len(e_str) % 4
    if remainder == 2:
        e_str += '=='
    elif remainder == 3:
        e_str += '='
    elif remainder == 0:
        pass
    else:
        raise B64DecodeSsrException()
    return base64.urlsafe_b64decode(e_str.encode('utf-8')).decode('utf-8')","def b64_decode_ssr(e_str: str) -> str:
    """"""
    Decode a URL-safe Base64-encoded string, automatically fixing missing
    padding.

    The function inspects the length of *e_str* and appends the required
    “=” padding so that the length becomes a multiple of 4—the requirement
    for valid Base64 input—before calling :pyfunc:`base64.urlsafe_b64decode`.

    Parameters
    ----------
    e_str : str
        The URL-safe Base64 string to decode. It may be missing standard “=”
        padding characters.

    Returns
    -------
    str
        The decoded UTF-8 text.

    Raises
    ------
    B64DecodeSsrException
        If the length of *e_str* modulo 4 is *not* 0, 2, or 3, which
        indicates an invalid Base64 string.
    """"""
    remainder = len(e_str) % 4
    if remainder == 2:
        e_str += ""==""
    elif remainder == 3:
        e_str += ""=""
    elif remainder == 0:
        pass
    else:
        raise B64DecodeSsrException()
    return base64.urlsafe_b64decode(e_str.encode(""utf-8"")).decode(""utf-8"")"
